"Item Number","Category","Vendor Number","Pack","Bottle Volume (ml)","State Bottle Retail","County","Store Number","City","Bottles Sold","Popularity"
928026,1011200,"370",6,750,26.24,5,7,6,60,"Unpopular"
928037,1011100,"395",6,750,37.5,40,103,56,283,"Unpopular"
928064,1011300,"398",6,750,33,1,1,1,6,"Unpopular"
928093,1011200,"395",6,750,60,2,3,2,36,"Unpopular"
928125,1011100,"079",6,750,45,2,3,2,24,"Unpopular"
928126,1042100,"305",6,750,26.25,5,8,7,66,"Unpopular"
928129,1011200,"512",6,750,41.49,1,1,1,6,"Unpopular"
928133,1011800,"306",6,750,34.5,1,1,1,150,"Unpopular"
928137,1091100,"368",6,750,61.5,12,24,15,300,"Unpopular"
928166,1042100,"962",1,750,217.5,1,1,1,1,"Unpopular"
928193,1011100,"606",6,750,52.5,7,13,9,185,"Unpopular"
928194,1011100,"606",6,750,40.01,2,2,2,18,"Unpopular"
928195,1042100,"370",6,750,14.99,3,4,3,66,"Unpopular"
928196,1011200,"259",3,750,66.99,25,45,34,45,"Unpopular"
928222,1012100,"380",12,750,10.73,1,1,1,12,"Unpopular"
928223,1901200,"035",12,200,4.5,2,2,2,48,"Unpopular"
928245,1011100,"306",6,750,28.5,1,1,1,600,"Unpopular"
928253,1042100,"035",8,50,22.5,2,2,2,16,"Unpopular"
928263,1011100,"208",6,750,24,1,1,1,6,"Unpopular"
928270,1011800,"125",6,750,31.5,6,14,9,4812,"Unpopular"
928271,1011800,"125",6,750,34.5,4,6,4,1498,"Unpopular"
928293,1091100,"368",1,50,239.4,1,1,1,120,"Unpopular"
928296,1011300,"536",6,750,41.25,5,5,5,946,"Unpopular"
928298,1011300,"536",6,750,52.5,1,1,1,180,"Unpopular"
928302,1011500,"306",6,750,28.74,5,10,6,252,"Unpopular"
928312,1042100,"368",6,750,28.76,4,4,4,30,"Unpopular"
928336,1042100,"368",6,750,28.56,3,4,3,90,"Unpopular"
928351,1042100,"300",6,50,19.95,1,1,1,6,"Unpopular"
928370,1042100,"619",6,750,18.74,1,2,2,54,"Unpopular"
928406,1901200,"978",6,750,21.75,13,29,17,509,"Unpopular"
928408,1042100,"978",6,1750,36.77,1,1,1,12,"Unpopular"
928420,NA,"460",6,750,30.26,2,3,3,18,"Unpopular"
928462,1042100,"391",6,750,39.99,4,5,4,78,"Unpopular"
928466,1042100,"497",6,750,26.37,3,3,3,48,"Unpopular"
928467,1041200,"497",6,750,21.75,2,2,2,24,"Unpopular"
928485,1042100,"368",6,750,22.49,4,4,4,42,"Unpopular"
928489,1042100,"368",6,750,23.46,1,1,1,6,"Unpopular"
928492,1042100,"305",6,750,45,1,1,1,6,"Unpopular"
928496,1042100,"305",6,750,45,1,1,1,6,"Unpopular"
928538,1042100,"357",6,750,43.01,1,1,1,18,"Unpopular"
928539,1042100,"357",6,750,32.51,1,1,1,18,"Unpopular"
928616,1042100,"650",6,750,34.74,2,2,2,18,"Unpopular"
928618,1042100,"477",6,750,37.5,1,1,1,18,"Unpopular"
928621,1041200,"240",8,50,44.91,2,2,2,16,"Unpopular"
928640,1042100,"363",6,750,31.38,2,2,2,12,"Unpopular"
928642,1041200,"391",6,750,34.07,1,1,1,6,"Unpopular"
928648,1041200,"370",6,750,20.99,2,2,2,30,"Unpopular"
928650,1041200,"255",6,750,20.99,2,3,3,24,"Unpopular"
928653,1042100,"370",6,750,20.99,1,1,1,6,"Unpopular"
928655,1041200,"370",6,750,20.99,2,2,2,36,"Unpopular"
928666,1901200,"305",6,750,25.5,5,8,6,150,"Unpopular"
928693,1042100,"370",3,1000,38.97,29,66,43,928,"Unpopular"
928699,1901200,"370",6,375,29.97,16,30,20,728,"Unpopular"
928704,1042100,"260",4,750,29.99,2,2,2,16,"Unpopular"
928730,1042100,"391",6,750,43.76,3,4,3,30,"Unpopular"
928732,1042100,"602",6,750,54.99,2,2,2,12,"Unpopular"
928736,1042100,"343",6,750,43.34,1,1,1,12,"Unpopular"
928739,1042100,"343",6,750,52.76,1,1,1,18,"Unpopular"
928770,1042100,"305",6,750,23.01,1,1,1,6,"Unpopular"
928778,1042100,"065",6,750,22.5,21,52,29,374,"Unpopular"
928793,1901200,"370",6,750,29.99,5,5,5,102,"Unpopular"
928812,1042100,"065",6,750,27.68,15,31,22,354,"Unpopular"
928814,1042100,"065",6,750,36.75,1,1,1,6,"Unpopular"
928815,1041200,"065",6,750,33,1,1,1,6,"Unpopular"
928818,1042100,"338",12,750,19.74,1,1,1,12,"Unpopular"
928900,1092100,"479",6,750,25.5,1,1,1,6,"Unpopular"
928903,1042100,"389",8,50,24.84,1,1,1,16,"Unpopular"
928910,1042100,"391",6,750,29.51,1,1,1,6,"Unpopular"
928922,1041100,"521",6,750,13.53,1,1,1,6,"Unpopular"
928946,1042100,"305",6,750,25.01,3,3,3,18,"Unpopular"
929060,1041100,"368",6,750,39.75,1,1,1,6,"Unpopular"
929117,1041100,"469",5,50,27,2,2,2,10,"Unpopular"
929123,1041100,"469",6,750,33.26,2,3,3,30,"Unpopular"
929253,1041200,"574",12,50,36.86,1,1,1,24,"Unpopular"
929256,1041100,"574",6,750,31.11,3,5,3,114,"Unpopular"
929259,1041100,"574",6,750,46.5,3,4,3,66,"Unpopular"
929398,1041100,"552",6,750,26.25,3,3,3,18,"Unpopular"
929410,1901200,"368",6,750,23.25,3,5,4,150,"Unpopular"
929550,1041100,"368",6,750,30,1,3,2,60,"Unpopular"
929566,1041100,"259",12,750,8.25,1,1,1,12,"Unpopular"
929820,1041100,"803",12,1000,6.39,2,2,2,24,"Unpopular"
929826,1041100,"677",6,750,30.24,1,1,1,12,"Unpopular"
929828,1041100,"677",6,750,34.74,1,1,1,12,"Unpopular"
929900,1041100,"305",6,750,22.25,4,5,4,144,"Unpopular"
930322,1041100,"978",6,750,29.76,5,6,5,48,"Unpopular"
930544,1042100,"305",12,750,22.5,2,5,4,72,"Unpopular"
930548,1042100,"305",12,750,22.88,2,2,2,36,"Unpopular"
930574,1041100,"623",12,1000,8.37,1,1,1,24,"Unpopular"
930650,1041100,"512",6,750,24,1,1,1,6,"Unpopular"
930746,1041100,"422",6,1750,21.48,3,3,3,21888,"Unpopular"
930851,1041100,"118",6,750,27.51,2,2,2,18,"Unpopular"
930854,1041100,"118",6,1000,30,1,1,1,42,"Unpopular"
931246,1041100,"421",6,1750,14.4,9,9,9,5928,"Unpopular"
931544,1041100,"629",6,750,32.49,1,1,1,18,"Unpopular"
931728,1042100,"602",6,750,36,2,2,2,18,"Unpopular"
931730,1042100,"602",6,750,35.99,1,1,1,6,"Unpopular"
931980,1041100,"254",12,750,32.25,3,3,3,60,"Unpopular"
931982,1041100,"254",12,750,27,1,1,1,12,"Unpopular"
932009,1041100,"399",6,750,29.99,2,2,2,72,"Unpopular"
932342,1091000,"448",6,750,45,4,6,5,126,"Unpopular"
932343,1041100,"448",6,750,26.25,4,8,6,203,"Unpopular"
932418,1041100,"421",6,1750,10.38,1,1,1,6,"Unpopular"
932426,1041100,"351",6,750,24.99,1,1,1,6,"Unpopular"
932428,1041100,"351",6,750,29.99,5,6,5,60,"Unpopular"
932512,1901200,"311",6,750,28.76,2,2,2,24,"Unpopular"
932650,1041200,"110",6,750,26.25,21,55,35,2984,"Unpopular"
932654,1041200,"110",6,750,24,4,4,4,36,"Unpopular"
933226,1041100,"399",6,750,26.24,2,2,2,24,"Unpopular"
933316,1901200,"434",12,750,6.75,2,2,2,48,"Unpopular"
933469,1032200,"370",6,1750,22.49,1,1,1,6,"Unpopular"
933497,1032100,"357",6,750,26.01,1,1,1,6,"Unpopular"
933507,1032100,"065",6,750,35.43,2,2,2,60,"Unpopular"
933530,1032100,"391",6,750,38,2,2,2,36,"Unpopular"
933561,1032100,"370",12,750,17.24,1,1,1,12,"Unpopular"
933567,1032200,"115",12,750,12.38,3,3,3,36,"Unpopular"
933649,1031200,"492",12,750,15,3,4,4,516,"Unpopular"
933651,1032100,"239",12,750,9.89,1,1,1,36,"Unpopular"
933653,1032100,"239",6,1750,21,1,1,1,24,"Unpopular"
933715,1901200,"305",6,750,88.83,5,5,5,48,"Unpopular"
933748,1901200,"305",6,750,27.99,13,24,17,382,"Unpopular"
933757,1032100,"370",6,750,29.97,10,16,13,228,"Unpopular"
933894,1031200,"434",12,1000,11.25,2,3,3,156,"Unpopular"
933900,1031200,"434",12,1000,13.01,1,1,1,24,"Unpopular"
933932,1031100,"434",12,1000,11.25,1,1,1,60,"Unpopular"
933933,NA,"434",12,1000,11.25,1,1,1,504,"Unpopular"
933935,1032200,"434",12,1000,13.01,2,3,2,324,"Unpopular"
933938,1031200,"434",12,1000,11.25,2,2,2,120,"Unpopular"
933941,1031200,"434",12,1000,13.01,2,2,2,45,"Unpopular"
934031,1032200,"370",12,50,9.9,1,1,1,12,"Unpopular"
